ite,tExecS,MediaTCumulativa,Acuracia,MediaAcCumulativa
49,8.91026377677917,8.68273197874731,0.996473820164828,0.996537833633597
50,8.20986652374268,8.67327466964722,0.996562658028893,0.996538330121503
51,8.71496438980103,8.67409211514043,0.996480653846679,0.996537199214153
52,8.73400139808655,8.67524421673555,0.996439651755573,0.996535323301488
53,8.17560505867004,8.66581706280978,0.996507988574084,0.996534807551915
54,8.24276852607727,8.65798283064807,0.996446485437424,0.996533171957202
55,8.45922875404358,8.65436912016435,0.996576325392595,0.996533956565118
56,8.18291282653809,8.64595025777817,0.996576325392595,0.996534713151323
57,8.53925490379333,8.64407840946264,0.996548990665191,0.996534963634022
58,8.16718459129333,8.63585610225283,0.996624161165553,0.996536501522497
59,8.80633950233459,8.63874565140676,0.996432818073722,0.996534744175908
60,8.29697680473328,8.6330495039622,0.996350813891508,0.996531678671168
61,8.89546227455139,8.63735135266038,0.996439651755573,0.996530170033207
62,8.86588215827942,8.64103733339617,0.996630994847404,0.996531796239888
63,8.17840600013733,8.6336939789,0.996460152801126,0.996530659042447
64,8.34177613258362,8.62913276255131,0.996644662211106,0.996532440341957
65,8.7325177192688,8.63072330034696,0.996651495892957,0.996534271965819
66,8.88973474502563,8.63464771617543,0.996583159074446,0.996535012679586
67,8.82810425758362,8.63753512724122,0.996384982300764,0.996532773420201
68,8.35295414924622,8.63335011285894,0.996432818073722,0.996531303488635
69,8.28554916381836,8.62830951939458,0.996501154892233,0.996530866552455
70,8.84672451019287,8.63142973354885,0.996501154892233,0.996530442100166
71,8.82376790046692,8.6341387218153,0.996630994847404,0.996531858336043
72,8.92871069908142,8.63822999927733,0.996343980209657,0.996529248917621
73,8.20374894142151,8.63227820396423,0.996432818073722,0.996527927947156
74,8.24523448944092,8.6270478834977,0.996617327483702,0.996529136049002
75,8.88450264930725,8.6304806137085,0.996760834802575,0.996532225365716
76,8.98186159133911,8.63510404762469,0.996282477072997,0.99652893920397
77,8.893803358078,8.63846377892928,0.996337146527806,0.996526448389993
78,8.36415314674377,8.63494697595254,0.996630994847404,0.996527788729191
79,8.37639951705933,8.63167422330832,0.996596826438148,0.996528662624241
